-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.774, 80.140, 0.617,  0.379
-183.760, 80.115, 0.772,  0.412
-183.745, 80.086, 0.894,  0.445
-183.727, 80.053, 1.031,  0.478
-183.707, 80.016, 1.151,  0.511
-183.685, 79.977, 1.247,  0.544
-183.662, 79.936, 1.318,  0.577
-183.637, 79.893, 1.369,  0.610
-183.612, 79.850, 1.402,  0.643
-183.586, 79.807, 1.423,  0.676
-183.560, 79.763, 1.434,  0.709
-183.533, 79.720, 1.436,  0.742
-183.506, 79.677, 1.434,  0.775
-183.479, 79.635, 1.427,  0.808
-183.453, 79.593, 1.417,  0.841
-183.426, 79.552, 1.405,  0.874
-183.400, 79.511, 1.392,  0.907
-183.373, 79.471, 1.379,  0.940
-183.347, 79.431, 1.367,  0.973
-183.322, 79.391, 1.356,  1.006
-183.296, 79.352, 1.346,  1.039
-183.271, 79.314, 1.339,  1.072
-183.245, 79.275, 1.333,  1.105
-183.220, 79.237, 1.330,  1.138
-183.195, 79.199, 1.330,  1.171
-183.170, 79.160, 1.331,  1.204
-183.146, 79.122, 1.335,  1.237
-183.121, 79.083, 1.340,  1.270
-183.096, 79.045, 1.346,  1.303
-183.072, 79.006, 1.353,  1.336
-183.047, 78.967, 1.361,  1.369
-183.023, 78.927, 1.369,  1.402
-182.998, 78.887, 1.377,  1.435
-182.974, 78.847, 1.384,  1.468
-182.950, 78.807, 1.391,  1.501
-182.926, 78.767, 1.398,  1.534
-182.902, 78.726, 1.403,  1.567
-182.879, 78.685, 1.408,  1.600
-182.855, 78.644, 1.412,  1.633
-182.832, 78.603, 1.415,  1.666
-182.809, 78.561, 1.418,  1.699
-182.787, 78.519, 1.420,  1.732
